Type,Name,EdgeIdx,Src,Dst,Neighbor,Importance,OrigScore,RefScore(unmasked),PredAblatedZero(unmasked),Score_Impact(unmasked),ImpactPct(unmasked),ImpactPctOfOrig(unmasked),Direction(unmasked),PredAblatedMean(unmasked),Score_Impact_Mean(unmasked),ImpactPct_Mean(unmasked),ImpactPctOfOrig_Mean(unmasked),Direction_Mean(unmasked)
Edge,#amazonfiretv--karrinrachelle (e53),53,#amazonfiretv,karrinrachelle,#amazonfiretv,0.009205685928463936,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#amazonfresh--karrinrachelle (e54),54,#amazonfresh,karrinrachelle,#amazonfresh,0.008716767653822899,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#amazongiftcard--karrinrachelle (e55),55,#amazongiftcard,karrinrachelle,#amazongiftcard,0.009250720962882042,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#amazonmp3--karrinrachelle (e56),56,#amazonmp3,karrinrachelle,#amazonmp3,0.008167685940861702,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#amazonmusic--karrinrachelle (e57),57,#amazonmusic,karrinrachelle,#amazonmusic,0.008724410086870193,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#amazonpets--karrinrachelle (e58),58,#amazonpets,karrinrachelle,#amazonpets,0.008972597308456898,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#amazonprime--karrinrachelle (e59),59,#amazonprime,karrinrachelle,#amazonprime,0.009093716740608215,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#amazonreview--karrinrachelle (e60),60,#amazonreview,karrinrachelle,#amazonreview,0.009065980091691017,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#amazonvideo--karrinrachelle (e61),61,#amazonvideo,karrinrachelle,#amazonvideo,0.009266144596040249,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#bacon--karrinrachelle (e62),62,#bacon,karrinrachelle,#bacon,0.009086066856980324,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#baconaddict--karrinrachelle (e63),63,#baconaddict,karrinrachelle,#baconaddict,0.009009667672216892,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#baconandegg--karrinrachelle (e64),64,#baconandegg,karrinrachelle,#baconandegg,0.009256601333618164,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#baconandeggs--karrinrachelle (e65),65,#baconandeggs,karrinrachelle,#baconandeggs,0.00909700058400631,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#baconeggandcheese--karrinrachelle (e66),66,#baconeggandcheese,karrinrachelle,#baconeggandcheese,0.009461228735744953,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#baconislife--karrinrachelle (e67),67,#baconislife,karrinrachelle,#baconislife,0.009201984852552414,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#baconlove--karrinrachelle (e68),68,#baconlove,karrinrachelle,#baconlove,0.00866196770220995,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#baconlover--karrinrachelle (e69),69,#baconlover,karrinrachelle,#baconlover,0.008445559069514275,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#baconnation--karrinrachelle (e70),70,#baconnation,karrinrachelle,#baconnation,0.008987076580524445,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#baconneggs--karrinrachelle (e71),71,#baconneggs,karrinrachelle,#baconneggs,0.008993546478450298,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#baconrules--karrinrachelle (e72),72,#baconrules,karrinrachelle,#baconrules,0.009188253432512283,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#bandreviews--karrinrachelle (e73),73,#bandreviews,karrinrachelle,#bandreviews,0.009071215987205505,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
Edge,#bandreviewsbyKARRINRACHELLE--karrinrachelle (e74),74,#bandreviewsbyKARRINRACHELLE,karrinrachelle,#bandreviewsbyKARRINRACHELLE,0.008719257079064846,0.042961884289979935,0.042961884289979935,0.042961884289979935,0.0,0.0,0.0,Zero (0),0.042961884289979935,0.0,0.0,0.0,Zero (0)
